RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts
155,15709368,Milne,614,France,Female,43,6,0,2
156,15679145,Chou,706,Spain,Male,57,7,0,1
157,15655007,Li,758,France,Female,33,7,0,2
158,15623595,Clayton,586,Spain,Female,28,2,0,2
159,15589975,Maclean,646,France,Female,73,6,97259.25,1
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1
162,15641122,Wei,684,France,Male,30,2,0,2
163,15630910,Treacy,800,France,Female,49,7,108007.36,1
164,15680772,Hu,721,Spain,Female,36,2,0,2
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1
169,15574692,Pinto,667,Spain,Female,39,2,0,2
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1
174,15586310,Ting,578,France,Male,30,4,169462.09,1
175,15625524,Rowe,512,France,Male,40,5,0,2
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1
177,15645248,Ho,510,France,Female,30,0,0,2
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1
182,15789669,Hsia,510,France,Male,65,2,0,2
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2
184,15810845,T'ang,636,France,Male,42,2,0,2
185,15719377,Cocci,804,France,Female,50,4,0,1
186,15654506,Chang,514,France,Male,32,8,0,2
187,15771977,T'ao,730,France,Female,39,1,99010.67,1
188,15708710,Ford,525,Spain,Female,37,0,0,1
189,15726676,Marshall,616,Spain,Male,30,5,0,2
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2
192,15771086,Graham,512,France,Female,36,3,84327.77,2
193,15756850,Golovanov,479,France,Male,40,1,0,2
194,15702741,Potts,601,France,Male,32,8,93012.89,1
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1
197,15635905,Moran,616,Spain,Female,32,6,0,2
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1
199,15656176,Jenkins,501,France,Male,57,10,0,2
200,15811127,Volkov,521,France,Male,35,6,96423.84,1
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1
202,15622911,Jude,759,France,Male,42,4,105420.18,1
203,15600974,He,516,Spain,Male,50,5,0,1
204,15727868,Onuora,711,France,Female,38,2,129022.06,2
205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1
206,15773039,Ku,550,France,Male,37,3,0,1
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1
208,15679531,Collins,618,France,Male,34,5,134954.53,1
209,15684181,Hackett,643,France,Male,45,5,0,1
210,15612087,Dike,671,France,Male,45,2,106376.85,1
211,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2
212,15624592,Tan,603,France,Male,31,8,0,2
213,15573152,Glassman,620,France,Female,41,9,0,2
214,15594917,Miller,676,France,Female,34,1,63095.01,1
215,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1
217,15680920,Marchesi,695,France,Male,46,7,49512.55,1
218,15786308,Millar,730,Spain,Female,33,9,0,2
219,15659366,Shih,807,France,Male,43,1,105799.32,2
220,15774854,Fuller,592,France,Male,54,8,0,1
221,15725311,Hay,726,France,Female,31,9,114722.05,2
222,15787155,Yang,514,Spain,Male,30,7,0,1
223,15727829,McIntyre,567,France,Male,42,2,0,2
224,15733247,Stevenson,850,France,Male,33,10,0,1
225,15568748,Poole,671,Germany,Male,45,6,99564.22,1
226,15699029,Bagley,670,France,Male,37,4,170557.91,2
227,15774393,Ch'ien,694,France,Female,30,9,0,2
228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3
229,15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1
230,15605461,Lucas,594,Germany,Female,29,3,130830.22,1
231,15808473,Ringrose,673,France,Male,72,1,0,2
232,15627000,Freeman,610,France,Male,40,0,0,2
233,15787174,Sergeyev,512,France,Female,37,1,0,2
234,15723886,Fiore,767,Germany,Male,20,3,119714.25,2
235,15704769,Smith,585,France,Female,67,5,113978.97,2
236,15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1
237,15711540,Pacheco,712,France,Female,29,2,0,1
238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3
239,15794056,Johnston,668,France,Female,46,2,0,3
240,15795149,Stevens,703,France,Male,28,2,81173.83,2
241,15812009,Grant,662,Spain,Male,38,4,0,2
242,15651001,Tsao,725,Germany,Female,39,5,116803.8,1
243,15813844,Barnes,703,France,Male,37,8,105961.68,2
244,15596175,McIntosh,659,Germany,Male,67,6,117411.6,1
245,15576269,Madison,523,Spain,Male,34,7,0,2
246,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1
247,15685500,Glazkov,772,Germany,Male,26,7,152400.51,2
248,15599792,Dimauro,545,France,Female,26,1,0,2
249,15657566,Wieck,634,Germany,Male,24,8,103097.85,1
250,15772423,Liao,739,Germany,Male,54,8,126418.14,1
251,15628112,Hughes,771,Germany,Female,36,5,77846.9,1
252,15753754,Morrison,587,Spain,Female,34,1,0,2
253,15793726,Matveyeva,681,France,Female,79,0,0,2
254,15694717,Ku,544,Germany,Male,37,2,79731.91,1
255,15665834,Cheatham,696,Spain,Male,28,8,0,1
256,15765297,Yao,766,Spain,Male,41,0,0,2
257,15636684,Kirkland,727,France,Male,34,10,0,2
258,15592979,Rose,671,Germany,Female,34,6,37266.67,2
259,15750803,Jess,693,France,Female,30,6,127992.25,1
260,15607178,Welch,850,Germany,Male,38,3,54901.01,1
261,15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2
262,15673481,Morton,726,Spain,Female,48,6,99906.19,1
263,15686776,Rossi,557,France,Female,32,6,184686.41,2
264,15673693,Reppert,682,France,Female,26,0,110654.02,1
265,15700696,Kang,738,Spain,Male,31,9,79019.8,1
266,15813163,Ch'iu,531,Spain,Female,36,9,99240.51,1
267,15653857,Wallis,498,France,Male,34,2,0,2
268,15777076,Clark,651,France,Male,36,7,0,2
269,15717398,Fielding,549,Spain,Female,39,7,0,1
270,15799217,Zetticci,791,Germany,Female,35,7,52436.2,1
271,15787071,Dulhunty,650,Spain,Male,41,9,0,2
272,15619955,Bevington,733,Germany,Male,34,3,100337.96,3
273,15796505,Boyle,811,Germany,Female,34,1,149297.19,2
274,15725166,Newton,707,France,Male,30,8,0,2
275,15800116,Bowman,712,Germany,Male,28,4,145605.44,1
276,15758685,Dubinina,706,Spain,Female,37,7,0,2
277,15694456,Toscani,756,France,Male,62,3,0,1
278,15767339,Chiazagomekpere,777,France,Female,53,10,0,2
279,15683562,Allen,646,France,Male,35,6,84026.86,1
280,15782210,K'ung,714,France,Male,46,1,0,1
281,15668893,Wilsmore,782,France,Male,39,8,0,2
282,15669169,Hargreaves,775,Spain,Male,29,10,0,2
283,15643024,Huang,479,Germany,Male,35,4,138718.92,1
284,15699389,Ch'ien,807,France,Male,42,7,118274.71,1
285,15708608,Wallwork,799,France,Female,22,8,174185.98,2
286,15626144,Chu,675,France,Male,40,7,113208.86,2
287,15573112,Kang,602,Spain,Male,29,5,103907.28,1
288,15790678,Davidson,475,France,Female,32,8,119023.28,1
289,15727556,O'Donnell,744,Spain,Female,26,5,166297.89,1
290,15697307,Nnachetam,588,Spain,Male,34,10,0,2
291,15652266,Chidiebele,703,Germany,Male,42,9,63227,1
292,15607098,Ahmed,747,Spain,Female,41,5,94521.17,2
293,15655774,Booth,583,France,Male,27,7,0,2
294,15590241,Chuang,750,Spain,Female,34,9,112822.26,1
295,15785819,Shao,681,France,Male,38,3,0,2
296,15723654,Tsao,773,France,Male,25,2,135903.33,1
297,15774510,Tien,714,France,Female,31,4,125169.26,1
298,15684173,Chang,687,Spain,Female,44,7,0,3
299,15650068,Johnson,511,France,Male,58,0,149117.31,1
300,15811490,French,627,France,Male,33,5,0,2
301,15803976,Efremov,694,France,Female,31,10,0,2
302,15682541,Hartley,616,Spain,Female,36,6,132311.71,1
303,15695699,Calabrese,687,France,Male,35,8,0,2
304,15624188,Chiu,712,France,Female,33,6,0,2
305,15812191,Brennan,553,France,Male,33,4,118082.89,1
306,15636673,Onwuatuegwu,667,France,Male,31,1,119266.69,1
307,15594898,Hewitt,731,France,Male,43,2,0,1
308,15660211,Shih,629,Germany,Male,35,7,156847.29,2
309,15773972,Balashov,614,France,Male,50,4,137104.47,1
310,15746726,Doyle,438,Germany,Male,31,8,78398.69,1
311,15712287,Pokrovskii,652,France,Female,80,4,0,2
312,15702919,Collins,729,Germany,Male,30,6,63669.42,1
313,15674398,Russo,642,France,Male,38,3,0,2
314,15797960,Skinner,806,Germany,Female,59,0,135296.33,1
315,15631868,Robertson,744,Spain,Male,36,2,153804.44,1
316,15581539,Atkinson,474,Spain,Male,37,3,0,2
317,15662736,Doyle,559,France,Male,49,2,147069.78,1
318,15666252,Ritchie,706,Spain,Male,42,9,0,2
319,15677512,McEncroe,628,Spain,Female,22,3,0,1
320,15626114,Pearson,429,France,Male,24,4,95741.75,1
321,15810834,Gordon,525,Spain,Female,57,2,145965.33,1
322,15678910,Ts'ai,680,France,Female,30,8,141441.75,1
323,15694408,Lung,749,France,Male,40,1,139290.41,1
324,15585215,Yuan,763,France,Female,31,4,0,2
325,15682757,Pardey,734,France,Male,30,3,0,2
326,15736601,Tai,716,France,Male,35,4,144428.87,1
327,15601848,Scott,594,France,Male,35,2,0,2
328,15736008,Hunter,644,France,Female,46,9,95441.27,1
329,15669064,Mazzanti,671,Germany,Male,35,1,144848.74,1
330,15624528,L?,664,Germany,Male,26,7,116244.14,2
331,15598493,Beach,656,France,Male,50,7,0,2
332,15601274,Hsieh,667,Spain,Female,40,1,146502.07,1
333,15702669,Faulkner,663,Germany,Male,44,2,117028.6,2
334,15728669,Knowles,584,Germany,Female,30,8,112013.81,1
335,15742668,Day,626,Spain,Female,37,6,108269.37,1
336,15697441,Hsueh,485,France,Male,29,7,182123.79,1
337,15740476,Tsao,659,Germany,Female,32,3,150923.74,2
338,15648064,Kennedy,649,France,Male,33,2,0,2
339,15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1
340,15807923,Young,716,Germany,Female,39,10,115301.31,1
341,15745844,Kerr,642,Germany,Female,40,6,129502.49,2
342,15786170,Tien,659,France,Male,31,4,118342.26,1
343,15681081,Marrero,545,Spain,Female,47,5,0,2
344,15684484,White,543,France,Male,22,8,0,2
345,15785869,Pisano,718,France,Female,25,7,0,2
346,15763859,Brown,840,France,Female,43,7,0,2
347,15658935,Freeman,630,Germany,Female,34,9,106937.05,2
348,15747358,Russell,643,Germany,Male,59,3,170331.37,1
349,15735203,Seleznyov,654,Germany,Female,32,1,114510.85,1
350,15576256,Yusupova,582,France,Male,39,5,0,2
351,15659420,Foley,659,Spain,Male,32,3,107594.11,2
352,15593365,Shih,762,Spain,Male,39,2,81273.13,1
353,15777352,Ikedinachukwu,568,Spain,Female,32,7,169399.6,1
354,15812007,Power,670,Spain,Male,25,6,0,2
355,15625461,Amos,613,France,Female,45,1,187841.99,2
356,15739438,Reed,539,France,Male,30,0,0,2
357,15611759,Simmons,850,Spain,Female,57,8,126776.3,2
358,15661629,Ricci,522,Spain,Male,34,9,126436.29,1
359,15633950,Yen,737,France,Male,41,1,101960.74,1
360,15592386,Campbell,520,France,Male,58,3,0,2
361,15803716,West,706,Spain,Male,28,3,0,2
362,15696674,Robinson,643,Germany,Female,45,2,150842.93,1
363,15706365,Bianchi,648,France,Female,50,9,102535.57,1
364,15745088,Chen,443,Germany,Female,29,9,99027.61,2
365,15676715,Madukaego,640,France,Male,68,9,0,2
366,15613085,Ibrahimova,628,Spain,Female,33,3,0,1
367,15633537,Nolan,540,Germany,Female,42,9,87271.41,2
368,15594720,Scott,460,Germany,Female,35,8,102742.91,2
369,15684042,Blair,636,Germany,Male,34,2,40105.51,2
370,15583303,Monaldo,593,France,Female,29,2,152265.43,1
371,15611579,Sutherland,801,Spain,Male,42,4,141947.67,1
372,15774696,Cole,640,Germany,Female,75,1,106307.91,2
373,15694506,Briggs,611,Germany,Male,31,0,107884.81,2
374,15688074,Gregory,802,Germany,Male,31,1,125013.72,1
375,15759537,Bianchi,717,Germany,Male,35,7,58469.37,2
376,15758449,Angelo,769,France,Female,39,8,0,1
377,15583456,Gardiner,745,Germany,Male,45,10,117231.63,3
378,15667871,Kerr,572,Spain,Male,35,4,152390.26,1
379,15677371,Ko,629,Spain,Female,30,2,34013.63,1
380,15629677,Distefano,687,Spain,Female,39,2,0,3
381,15713578,Farrell,483,France,Female,50,9,0,2
382,15591509,Milano,690,France,Male,36,7,101583.11,2
383,15568240,Ting,492,Germany,Female,30,10,77168.87,2
384,15622993,Boyd,709,Germany,Male,28,8,124695.72,2
385,15689294,Onyemaechi,705,Germany,Male,44,3,105934.96,1
386,15720910,Black,560,France,Female,66,9,0,1
387,15721181,Oliver,611,Spain,Male,46,6,0,2
388,15776433,Greco,730,Spain,Male,62,2,0,2
389,15748936,Whitehead,709,Spain,Female,45,2,0,2
390,15717225,Ikemefuna,544,France,Female,21,10,161525.96,2
391,15685226,Morrison,712,Germany,Female,29,7,147199.07,1
392,15785611,Onyeoruru,752,Germany,Male,38,3,183102.29,1
393,15573456,Cunningham,648,Spain,Male,46,9,127209,2
394,15684548,Demidov,556,Spain,Male,38,8,0,2
395,15620505,Celis,594,Spain,Female,24,0,97378.54,1
396,15807432,Cheng,645,Germany,Female,37,2,136925.09,2
397,15584766,Knight,557,France,Male,33,3,54503.55,1
398,15612187,Morin,547,Germany,Male,32,8,155726.85,1
399,15762218,Mills,701,France,Female,39,9,0,2
400,15646372,Outhwaite,616,France,Female,66,1,135842.41,1
401,15690452,Tung,605,France,Male,52,1,63349.75,1
402,15747795,Pai,593,Germany,Female,38,4,129499.42,1
403,15781589,Carpenter,751,Spain,Male,52,8,0,2
404,15732674,Fennell,443,Spain,Male,36,6,70438.01,2
405,15642291,Fontaine,685,France,Male,23,8,0,2
406,15692761,Pratt,718,France,Male,36,9,0,1
407,15578045,Mitchell,538,Spain,Female,49,9,141434.04,1
408,15745354,Franklin,611,Spain,Female,37,4,0,2
409,15701376,K'ung,668,Germany,Male,37,10,152958.29,2
410,15691625,Ko,537,Germany,Female,41,3,138306.34,1
411,15566594,McKenzie,709,Spain,Male,23,10,0,2
412,15760431,Pino,850,France,Male,38,1,0,2
413,15686302,Fisk,745,Spain,Female,31,3,124328.84,1
414,15801559,Chiang,693,Germany,Female,41,9,181461.48,3
415,15810432,Moseley,795,Spain,Male,35,8,0,2
416,15809616,Hsiung,626,Spain,Male,26,8,0,2
417,15720559,Heath,487,Germany,Female,61,5,110368.03,1
418,15695632,Dellucci,556,France,Female,39,9,89588.35,1
419,15659843,Li,643,France,Female,46,6,0,2
420,15615624,De Salis,605,France,Female,28,6,0,2
421,15810418,T'ang,756,Germany,Female,60,3,115924.89,1
422,15716186,Richardson,586,France,Female,38,2,0,2
423,15674551,Fitch,535,Germany,Male,40,7,111756.5,1
424,15622834,Stevenson,678,France,Female,35,4,0,1
425,15566111,Estes,596,France,Male,39,9,0,1
426,15784597,Lattimore,648,France,Male,26,9,162923.85,1
427,15652883,Chung,492,Germany,Male,39,10,124576.65,2
428,15806964,Utz,702,France,Male,45,0,80793.58,1
429,15576313,Wei,486,Germany,Female,40,9,71340.09,1
430,15806467,Boyle,568,Germany,Male,40,1,99282.63,1
431,15597602,Nwachinemelu,619,Germany,Male,57,3,137946.39,1
432,15743040,Kuznetsova,724,Germany,Male,41,2,127892.57,2
433,15705521,Pisani,548,Germany,Female,33,0,101084.36,1
434,15595039,Manna,545,Germany,Female,37,8,114754.08,1
435,15799384,Collier,683,France,Male,33,8,0,1
436,15581197,Ricci,762,France,Female,51,3,99286.98,1
437,15693737,Carr,627,Germany,Female,30,4,79871.02,2
438,15624623,Hs?,516,France,Male,35,10,104088.59,2
439,15783501,Findlay,800,France,Female,38,2,168190.33,2
440,15690134,Hughes,464,Germany,Female,42,3,85679.25,1
441,15782735,Chukwuemeka,626,France,Female,35,3,0,1
442,15611088,Genovese,790,France,Female,31,9,0,2
443,15672145,Swift,534,France,Female,34,7,121551.58,2
444,15732628,Ugoji,745,France,Male,46,2,122220.19,1
445,15787470,Parkinson,553,Spain,Male,47,3,116528.15,1
446,15803406,Ross,748,France,Female,26,1,77780.29,1
447,15730460,Oleary,722,France,Male,37,2,0,1
448,15644572,Turnbull,501,France,Male,40,4,125832.2,1
449,15694860,Uspensky,675,France,Female,38,6,68065.8,1
450,15658169,Cook,778,Spain,Female,47,6,127299.34,2
451,15794396,Newbold,494,Germany,Female,38,7,174937.64,1
452,15785798,Uchechukwu,850,France,Male,40,9,0,2
453,15710825,Ch'en,592,Spain,Male,31,7,110071.1,1
454,15668444,He,590,Spain,Female,44,3,139432.37,1
455,15726631,Hilton,758,France,Female,39,6,127357.76,1
456,15733797,Sal,506,France,Male,36,5,0,2
457,15747960,Eluemuno,733,France,Male,33,3,0,1
458,15634632,Titus,711,France,Male,38,3,0,2
459,15707362,Yin,514,Germany,Male,43,1,95556.31,1
460,15662976,Lettiere,637,Spain,Male,37,8,0,1
461,15732778,Templeman,468,Germany,Male,29,1,111681.98,2
462,15718443,Chibuzo,539,France,Male,39,3,0,2
463,15670039,Sun,509,Spain,Female,25,3,108738.71,2
464,15773792,Evans,662,France,Female,32,4,133950.37,1
465,15613786,Ogbonnaya,818,Spain,Male,26,4,0,2
466,15726032,Enyinnaya,608,France,Male,33,9,89968.69,1
467,15663252,Olisanugo,850,Spain,Female,32,9,0,2
468,15593782,Brookes,816,Germany,Female,38,5,130878.75,3
469,15633283,Padovano,536,France,Male,35,8,0,2
470,15749167,Fisk,753,France,Male,35,3,0,2
471,15759298,Shih,631,Spain,Male,27,10,134169.62,1
472,15683625,Hare,703,France,Male,37,1,149762.08,1
473,15635367,Muir,774,France,Male,26,2,93844.69,1
474,15681705,Fanucci,785,France,Male,28,8,0,2
475,15603156,Elewechi,571,France,Female,33,1,0,2
476,15591986,Johnston,621,Germany,Male,46,6,141078.37,1
